Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/03/2023,06/04/2023,PIXEL PLANET,Gaming,Debit,-59.99,
06/20/2023,06/21/2023,HANDYMAN’S PARADISE,Home Improvement,Debit,-57.30,
06/30/2023,07/01/2023,FUEL GALAXY,Gasoline,Debit,-40.00,
07/07/2023,07/08/2023,EXTREME SPORTS ZONE,Outdoor,Debit,-89.99,
07/16/2023,07/17/2023,ZEN HAVEN SPA,Health,Debit,-90.00,
07/25/2023,07/26/2023,ROAMER’S RETREAT,Travel,Debit,-250.00,
07/31/2023,08/01/2023,SILVER SCREEN ESCAPE,Entertainment,Debit,-24.75,
08/18/2023,08/19/2023,ABODE ARTISTRY,Home,Debit,-75.20,
08/31/2023,09/01/2023,ADVENTURE ALLEY,Outdoor,Debit,-68.75,
09/08/2023,09/09/2023,ACTIVE FUSION,Fitness,Debit,-110.00,
09/15/2023,09/16/2023,STORYBOOK HAVEN,Books,Debit,-32.50,
09/20/2023,09/21/2023,HEARTFELT CAUSES,Charity,Debit,-50.00,
10/08/2023,10/09/2023,COOL BEAN OASIS,Cafe,Debit,-14.50,
10/15/2023,10/16/2023,CULINARY ADVENTURE,Dining,Debit,-73.45,
10/31/2023,11/01/2023,JAVA JIVE CAFÉ,Dining,Debit,-18.25,
11/01/2023,11/02/2023,GREEN VIBES GARDEN,Gardening,Debit,-37.80,
11/03/2023,11/04/2023,POWER HOUSE UTILITIES,Utilities,Debit,-120.00,
11/05/2023,11/06/2023,CYBERSPACE SUBSCRIPTION,Services,Debit,-10.00,
11/11/2023,11/12/2023,PRIME TREASURES,Shopping,Debit,-45.89,
